Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stock PnL,Option PnL,Total PnL,Return,Reason
NFLX,2020-05-07,2020-05-12,436.53,431.82,-2694.119999999988,1462.0036817510672,-1232.1163182489208,-0.0049344821831905795,Signal Exit
NVDA,2020-05-07,2020-05-12,304.87,312.1,5928.600000000015,-1423.0133920847836,4505.586607915231,0.018022822234167908,Signal Exit
TMO,2020-05-11,2020-05-12,340.39,331.72,-6363.77999999997,1854.2220818076796,-4509.55791819229,-0.018049331289538978,Signal Exit
GOOG,2020-05-07,2020-05-14,1372.56,1356.13,-2990.25999999997,1800.891391316592,-1189.3686086833782,-0.004761170626714444,Signal Exit
GOOGL,2020-05-07,2020-05-14,1369.28,1356.86,-2260.4400000000132,1617.2464348237836,-643.1935651762296,-0.002580940770252521,Signal Exit
VRTX,2020-05-11,2020-05-14,285.28,277.0,-7253.279999999976,2259.049500062755,-4994.230499937221,-0.019984493724731312,Signal Exit
REGN,2020-05-13,2020-05-14,577.12,570.86,-2710.5799999999963,947.6104616205484,-1762.9695383794478,-0.007054898778978999,Signal Exit
TMO,2020-05-13,2020-05-14,334.09,337.29,2393.600000000034,-680.0017323929512,1713.5982676070828,0.006857154583722288,Signal Exit
NFLX,2020-05-13,2020-05-14,438.27,441.95,2097.600000000004,-573.5043146815889,1524.0956853184152,0.006100924269299728,Signal Exit
SPGI,2020-04-30,2020-05-18,292.88,311.63,15993.75,-2291.4772214363293,13702.27277856367,0.05484712430413214,Signal Exit
IDXX,2020-05-05,2020-05-18,282.08,295.93,12271.10000000002,-2901.2973421071724,9369.802657892847,0.03749077578608589,Signal Exit
AMZN,2020-05-07,2020-05-18,2367.61,2426.26,6158.250000000009,-461.84956453753443,5696.400435462475,0.022914007255709443,Signal Exit
AAPL,2020-05-07,2020-05-18,303.74,314.96,9234.059999999976,-1787.7147832412227,7446.345216758753,0.029787999827979885,Signal Exit
ILMN,2020-05-13,2020-05-18,323.39,344.14,16039.75,-6618.419937427211,9421.33006257279,0.03768826445751058,Signal Exit
GOOGL,2020-05-15,2020-05-18,1373.06,1385.18,2205.8400000000215,-314.84059489511765,1890.9994051049039,0.007567117694387366,Signal Exit
NFLX,2020-05-15,2020-05-18,454.19,452.58,-885.5000000000075,689.222493973142,-196.27750602686547,-0.0007857244606356789,Signal Exit
GOOG,2020-05-15,2020-05-18,1373.19,1383.94,1956.5,-227.51965684909885,1728.9803431509013,0.006918119120685864,Signal Exit
BLK,2020-05-21,2020-05-22,508.51,513.3,2351.889999999982,-665.0579682463858,1686.8320317535963,0.006756018799357126,Signal Exit
HUM,2020-03-26,2020-05-26,304.48,397.09,76032.80999999997,-4106.661554407903,71926.14844559206,0.2877298219331553,Signal Exit
ORLY,2020-05-04,2020-05-26,388.21,399.12,7015.1300000000165,2690.541622176138,9705.671622176154,0.03888193789622592,Signal Exit
INTU,2020-05-11,2020-05-26,287.84,282.2,-4895.519999999988,3209.3447554635436,-1686.175244536444,-0.0067488820455506365,Signal Exit
AMZN,2020-05-19,2020-05-26,2449.33,2421.86,-2801.9399999999796,1755.1239790982333,-1046.8160209017462,-0.004190085519592458,Signal Exit
NFLX,2020-05-19,2020-05-26,451.04,414.77,-20093.58000000002,4017.789934377588,-16075.790065622432,-0.06433502926258525,Signal Exit
IDXX,2020-05-21,2020-05-26,292.66,290.84,-1554.2800000000427,1157.8779019969156,-396.4020980031271,-0.0015860420793586882,Signal Exit
VRTX,2020-05-21,2020-05-26,284.63,266.5,-15918.139999999996,3635.345321451932,-12282.794678548064,-0.049149828124976,Signal Exit
ISRG,2020-05-22,2020-05-26,562.8,561.09,-759.2399999999657,791.0221678324672,31.7821678325015,0.00012718809360733936,Signal Exit
